Id	Pathway	Gene
hsa00190	Oxidative phosphorylation	4700
hsa00190	Oxidative phosphorylation	4701
hsa00190	Oxidative phosphorylation	4702
hsa00190	Oxidative phosphorylation	4704
hsa00190	Oxidative phosphorylation	4705
hsa00190	Oxidative phosphorylation	4706
hsa00190	Oxidative phosphorylation	4707
hsa00190	Oxidative phosphorylation	4708
hsa00190	Oxidative phosphorylation	4709
hsa00190	Oxidative phosphorylation	4710
hsa00190	Oxidative phosphorylation	4711
hsa00190	Oxidative phosphorylation	4712
hsa00190	Oxidative phosphorylation	4713
hsa00190	Oxidative phosphorylation	4714
hsa00190	Oxidative phosphorylation	4715
hsa00190	Oxidative phosphorylation	4716
hsa00190	Oxidative phosphorylation	4717
hsa00190	Oxidative phosphorylation	4718
hsa00190	Oxidative phosphorylation	4719
hsa00190	Oxidative phosphorylation	4720
hsa00190	Oxidative phosphorylation	4722
hsa00190	Oxidative phosphorylation	4723
hsa00190	Oxidative phosphorylation	4724
hsa00190	Oxidative phosphorylation	4725
hsa00190	Oxidative phosphorylation	4726
hsa00190	Oxidative phosphorylation	4728
hsa00190	Oxidative phosphorylation	4729
hsa00190	Oxidative phosphorylation	4731
hsa00190	Oxidative phosphorylation	479
hsa00190	Oxidative phosphorylation	495
hsa00190	Oxidative phosphorylation	496
hsa00190	Oxidative phosphorylation	498
hsa00190	Oxidative phosphorylation	506
hsa00190	Oxidative phosphorylation	50617
hsa00190	Oxidative phosphorylation	509
hsa00190	Oxidative phosphorylation	51079
hsa00190	Oxidative phosphorylation	513
hsa00190	Oxidative phosphorylation	51382
hsa00190	Oxidative phosphorylation	514
hsa00190	Oxidative phosphorylation	515
hsa00190	Oxidative phosphorylation	516
hsa00190	Oxidative phosphorylation	51606
hsa00190	Oxidative phosphorylation	517
hsa00190	Oxidative phosphorylation	518
hsa00190	Oxidative phosphorylation	521
hsa00190	Oxidative phosphorylation	522
hsa00190	Oxidative phosphorylation	523
hsa00190	Oxidative phosphorylation	525
hsa00190	Oxidative phosphorylation	526
hsa00190	Oxidative phosphorylation	527
hsa00190	Oxidative phosphorylation	528
hsa00190	Oxidative phosphorylation	529
hsa00190	Oxidative phosphorylation	533
hsa00190	Oxidative phosphorylation	534
hsa00190	Oxidative phosphorylation	535
hsa00190	Oxidative phosphorylation	537
hsa00190	Oxidative phosphorylation	539
hsa00190	Oxidative phosphorylation	54205
hsa00190	Oxidative phosphorylation	54539
hsa00190	Oxidative phosphorylation	5464
hsa00190	Oxidative phosphorylation	55967
hsa00190	Oxidative phosphorylation	56901
hsa00190	Oxidative phosphorylation	6389
